,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
390,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T06:58:23.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
16h","#Ukraine capital Kyiv right now #UkraineInvasion #UkraineRussiaWar #UkraineUnderAttack #Russia
0:24
38.5K views
4
67
295",,4,67,295,[],https://twitter.com/theghostofkyiv_/status/1497466052304723973
391,OPTIMUS PRIME,@AbuYasser1273,2022-02-26T04:13:30.000Z,"OPTIMUS PRIME
@AbuYasser1273
·
18h","#KIEV at sunrise today
1
14
32",,1,14,32,[],https://twitter.com/AbuYasser1273/status/1497424561264074753
392,Lesia Vasylenko,@lesiavasylenko,2022-02-26T20:05:34.000Z,"Lesia Vasylenko
@lesiavasylenko
·
2h","15 air strikes on #Kyiv alone in less than 72 hours. Tonight will be tough. Maybe toughest. #Russia attacks from the sky many cities at a time. More people go down to the metro. More soldiers come out patrolling the streets.#Ukraine’s new normal
66
856
1,401",,66,856,"1,401",[],https://twitter.com/lesiavasylenko/status/1497664155289014272
393,Vassko,@vassko,2022-02-26T11:58:20.000Z,"Vassko
@vassko
·
11h","Another 18 year old kid that has no clue what he is doing in Ukraine  classic Putin 101. #ukraine Russia army #russia
9
71
190",❤ 🤬,9,71,190,[],https://twitter.com/vassko/status/1497541537554599938
394,🅻-🆃🅴🅼,@L_Team10,2022-02-26T13:41:42.000Z,"🅻-🆃🅴🅼
@L_Team10
·
9h","#Belarus: Transportation of heavy military equipment spotted today (February 26) in Brest, ~ 10 km from the border with  #Poland
#Russia is challenging  openly #NATO
299
592",🅰 ⭕ 👉,,299,592,[],https://twitter.com/L_Team10/status/1497567550292598786
395,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T15:47:38.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
7h","A downed Russian plane is on fire shot down by Ukraine Army. 

#Ukraine #Russia #UkraineArmy #RussiaPlane
46
214
984",,46,214,984,[],https://twitter.com/WW32022/status/1497599245171503105
396,Russia-Ukraine Latest News,@RussiaUkraineNs,2022-02-26T16:15:39.000Z,"Russia-Ukraine Latest News
@RussiaUkraineNs
·
6h","Ukrainian President Volodymyr Zelensky vows to stay and fight the Russian invaders.
""I am here. We will not lay down any weapons. We will defend our state, because our weapons are our truth,"" 
#Ukraine #Russia #Putin #NATO #Kyiv
0:37
33.3K views
12
82
493",,12,82,493,[],https://twitter.com/RussiaUkraineNs/status/1497606296597823489
397,The RAGE X,@theragex,2022-02-26T08:32:55.000Z,"The RAGE X
@theragex
·
14h","Kiev security forces detained another group of saboteurs .

#Kiev
96
276",,,96,276,[],https://twitter.com/theragex/status/1497489842489462789
398,HAMDAN URDU NEWS,@waheedfalaksher,2022-02-26T08:11:50.000Z,"HAMDAN URDU NEWS
@waheedfalaksher
·
14h","#Russians firing missiles into #Ukraine.

#WorldWarIII #RussiaUkraineConflict h
#Ukraine #UkraineWar #UkraineRussiaWar
69
237",👀,,69,237,[],https://twitter.com/waheedfalaksher/status/1497484536548106241
399,RickieLeakz,@rickieleakz,2022-02-26T09:53:54.000Z,"RickieLeakz
@rickieleakz
·
13h","Ukrainian President Zelenskyy after Kyiv survived a full on assault by Russian forces tonight, announces he is right here in the city and is not going anywhere. #Ukraine #Russia #UkraineRussiaWar
7
71
491",,7,71,491,[],https://twitter.com/rickieleakz/status/1497510223950589952
400,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T06:08:46.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
16h","Vlad Zadorin is one of the 13 #Ukrainian service members who lost their lives on Snake Island IG Bublichek99 #RussiaUkraineWar #UkraineInvasion #Ukraine #Russia
2
47
258",,2,47,258,[],https://twitter.com/theghostofkyiv_/status/1497453569447895045
401,Beau,@james1roob,2022-02-26T07:27:28.000Z,"Beau
@james1roob
·
15h","Ukrainian soldier shoots down a warplane alone....we all stand by the Ukrainian people#Ukraine #UkraineUnderAttack #UkraineRussia #UkraineRussiaWar #ukrainewarreport
0:28
53.6K views
16
68
523",💔,16,68,523,[],https://twitter.com/james1roob/status/1497473374464843776
402,🅻-🆃🅴🅼,@L_Team10,2022-02-26T13:46:39.000Z,"🅻-🆃🅴🅼
@L_Team10
·
9h","#Turkey bans #Russia|n warships from entering the Black Sea
 We estimated that Russia will respond very hard on this. 
A completely new chapter on this war  begun!
1
108
242",🅰 ⭕ 👉 👉,1,108,242,[],https://twitter.com/L_Team10/status/1497568796927832069
403,bigSAC™,@bigSAC10,2022-02-26T02:28:02.000Z,"bigSAC™
@bigSAC10
·
20h","A motorist in Kherson survives a traumatic near-death experience when a Russian shell lands very close to his vehicle. Russia is lying about not targeting civilians. They’re trying to break Ukraine’s morale. #ukrainewar #russianinvasion #slaviaukraini #putinisawarcriminal
12
161
704",,12,161,704,[],https://twitter.com/bigSAC10/status/1497398017376153600
404,Intel Rogue,@IntelRogue,2022-02-26T08:28:46.000Z,"Intel Rogue
@IntelRogue
·
14h","Russian military in Sumy. They are giving up.
#Ukraine #Russia #Sumy
From 
З висоти видніше
18
157
739",👍,18,157,739,[],https://twitter.com/IntelRogue/status/1497488798426570755
405,Intel Rogue,@IntelRogue,2022-02-26T08:28:46.000Z,"Intel Rogue
@IntelRogue
·
14h","Russian military in Sumy. They are giving up.
#Ukraine #Russia #Sumy
0:05
133.9K views
From 
З висоти видніше
18
157
739",👍,18,157,739,[],https://twitter.com/IntelRogue/status/1497488798426570755
406,إمبراطورية الغموض,@mysteryempiire,2022-02-26T23:03:03.000Z,"إمبراطورية الغموض
@mysteryempiire
·
41s","A strange creature appears in the forests of Russia

Video : https://youtu.be/4qKZNZfV6Gg

#UkraineUnderAttack",,,,,[],https://twitter.com/mysteryempiire/status/1497708819031461895
407,Flaco,@deltoro_flaco,2022-02-26T10:13:50.000Z,"Flaco
@deltoro_flaco
·
12h"," A message from Ukrainian soldiers
#Україна #UkraineRussiaWar #Soldiers #Ukraine
2
27
103",🎥,2,27,103,[],https://twitter.com/deltoro_flaco/status/1497515241780891651
408,MJ Augustine Vinod,@mjavinod,2022-02-26T06:22:11.000Z,"MJ Augustine Vinod
@mjavinod
·
16h","Anyone looking to meddle in #UkraineRussiaWar
Remember this
From 
Брат
15
121
637",👆,15,121,637,[],https://twitter.com/mjavinod/status/1497456946034528257
409,KASİDE,@zakkumec,2022-02-26T10:23:13.000Z,"KASİDE
@zakkumec
·
12h","#UkraineRussiaWar President of Ukraine : Our Party Leader Is Here The head of the presidential office is here Prime Minister is here Defense minister here President's Advisor the president is here We are in Kyiv We are all here We protect our state and our independence.
0:31
82.6K views
18
194
1,638",,18,194,"1,638",[],https://twitter.com/zakkumec/status/1497517601328664580
410,maxim.sheaib™,@MaximSheaib,2022-02-26T19:56:26.000Z,"maxim.sheaib™
@MaximSheaib
·
3h","When a big fish is caught, boys will always be boys! Russian Army Major captured. 
#ukraine #UkraineWar #Russian
6
19
119",,6,19,119,[],https://twitter.com/MaximSheaib/status/1497661855124369412
411,SM Ali Abbas Bukhari,@smalinaqvi05,2022-02-26T08:55:06.000Z,"SM Ali Abbas Bukhari
@smalinaqvi05
·
14h","Communication of the citizens with the young Russian soldier who was captured in Sumy
#Russia
#RussiaUkraineWar #RussiaUkraineConflict
6
42
187",,6,42,187,[],https://twitter.com/smalinaqvi05/status/1497495428144713735
412,Hiba Javed,@HibaJaved10,2022-02-26T06:09:25.000Z,"Hiba Javed
@HibaJaved10
·
16h","DO YOU REALLY THINK THIS WAR WILL END WAR - STOP PUTIN NOW WHILE WE CAN #Ukraine #UkraineUnderAttack #UkraineRussia #UkraineRussiaWar #ukrainewarreport
0:18
100.9K views
37
141
645",💔,37,141,645,[],https://twitter.com/HibaJaved10/status/1497453732237541378
413,,@0419R7264968959,2022-02-26T13:33:24.000Z,"@0419R7264968959
·
9h","""I am Russian too. Do you have any problems in your state?”. Melitopol, a local resident is trying to talk to the Russian military. 

#Ukraine #UkraineUnderAttack
14
158",🌴 🌊,,14,158,[],https://twitter.com/0419R7264968959/status/1497565464314236932
414,Megh Updates,@MeghBuIletin,2022-02-26T11:15:26.000Z,"Megh Updates
@MeghBuIletin
·
11h","Reportedly Russian Jet shot down in Zhytomyr region 

#UkraineUnderAttack
6
26",🚨,,6,26,[],https://twitter.com/MeghBuIletin/status/1497530741181140993
415,نور الاوكرانيه #Ukraine,@Ukrainianfree66,2022-02-26T19:38:20.000Z,"نور الاوكرانيه #Ukraine
@Ukrainianfree66
·
3h","And down they go…
#RussiaGoHome #StandWithUkraine 

#UkraineWar

#Zelensky
#Kiev
#UkraineUnderAttack
From 
olexander scherba
1
6
26",❤,1,6,26,[],https://twitter.com/Ukrainianfree66/status/1497657302614118400
416,نور الاوكرانيه #Ukraine,@Ukrainianfree66,2022-02-26T19:38:20.000Z,"نور الاوكرانيه #Ukraine
@Ukrainianfree66
·
3h","And down they go…
#RussiaGoHome #StandWithUkraine 

#UkraineWar

#Zelensky
#Kiev
#UkraineUnderAttack
0:13
67.6K views
From 
olexander scherba
1
6
26",❤,1,6,26,[],https://twitter.com/Ukrainianfree66/status/1497657302614118400
417,نور الاوكرانيه #Ukraine,@Ukrainianfree66,2022-02-26T19:38:20.000Z,"نور الاوكرانيه #Ukraine
@Ukrainianfree66
·
3h","And down they go…
#RussiaGoHome #StandWithUkraine 

#UkraineWar

#Zelensky
#Kiev
#UkraineUnderAttack
67.6K views
0:03 / 0:15
From 
olexander scherba
1
6
26",❤,1,6,26,[],https://twitter.com/Ukrainianfree66/status/1497657302614118400
418,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T07:00:38.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
16h","#Ukrainian locals take down #Russian flag in Chaplinka, Kherson region #Ukraine #UkraineInvasion #RussiaUkraineWar #UkraineUnderAttack
2
13
95",,2,13,95,[],https://twitter.com/theghostofkyiv_/status/1497466618841944065
419,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T14:14:05.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
8h","Despite the Russian invasion , residents living their normal lives in Kyiv, Ukraine. 

#StandWithUkriane #solidarityWithUkraine #Ukraine #Russia #RussiaUkraine
0:58
91.4K views
32
194
1,218",,32,194,"1,218",[],https://twitter.com/WW32022/status/1497575701007908865
420,War in Ukraine,@4_Ukraine_,2022-02-26T15:23:41.000Z,"War in Ukraine
@4_Ukraine_
·
7h","""To all Ukrainians, who afraid of Chechens, don't be, they nothing, they jackals, they only have beards, We will shave them"" - message from #Ukraine soldier! 

#ukraine #ukrainian #UkraineRussia #UkraineUnderAttack #StopPutin #PutinIsaWarCriminal
16
78
539",,16,78,539,[],https://twitter.com/4_Ukraine_/status/1497593216539021317
421,Beau,@james1roob,2022-02-26T07:31:58.000Z,"Beau
@james1roob
·
15h","I am proud of every Ukrainian citizen...Victory and Glory to Ukraine
#Ukraine #UkraineUnderAttack #UkraineRussia #UkraineRussiaWar #ukrainewarreport
11
42
402",💔,11,42,402,[],https://twitter.com/james1roob/status/1497474504896954368
422,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T14:14:05.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
8h","Despite the Russian invasion , residents living their normal lives in Kyiv, Ukraine. 

#StandWithUkriane #solidarityWithUkraine #Ukraine #Russia #RussiaUkraine
91.4K views
0:03 / 1:00
32
194
1,218",,32,194,"1,218",[],https://twitter.com/WW32022/status/1497575701007908865
423,Beau,@james1roob,2022-02-26T07:31:58.000Z,"Beau
@james1roob
·
15h","I am proud of every Ukrainian citizen...Victory and Glory to Ukraine
#Ukraine #UkraineUnderAttack #UkraineRussia #UkraineRussiaWar #ukrainewarreport
0:43
61.2K views
11
42
402",💔,11,42,402,[],https://twitter.com/james1roob/status/1497474504896954368
424,Ukrain News,@UkraineNewsWar,2022-02-26T23:03:30.000Z,"Ukrain News
@UkraineNewsWar
·
28s","Ukrainian DOT and DMVs taking signs off all level highways to confuse and stall the Russian advance.

#Ukraine #Kyiv #UkraineUnderAttack #UkraineRussiaWar #UkraineWar 
@UkraineNewsWar
4",,,,4,[],https://twitter.com/UkraineNewsWar/status/1497708935603703811
425,We Stand With Ukraine,@jogarcia618,2022-02-26T20:18:10.000Z,"We Stand With Ukraine
@jogarcia618
·
2h","Ukrainian soldiers capture a Russian Army Major. They said “Welcome to Ukraine” #UkraineWar #UkraineUnderAttack #UkraineRussiaWar #Kyiv
41
103
594",,41,103,594,[],https://twitter.com/jogarcia618/status/1497667324005916676
426,Artur Poliak,@artur_poliak,2022-02-26T22:11:59.000Z,"Artur Poliak
@artur_poliak
·
51m","#Kyiv #Ukrania #PrayingForUkraine #BREAKING 

The radio reports that the assault is imminent, they ask us to seek shelter, it will be a carnage, I no longer have a battery in my phone, I hope to be alive in the morning.
13
32
125",,13,32,125,[],https://twitter.com/artur_poliak/status/1497695967079845890
427,Ukrain News,@UkraineNewsWar,2022-02-26T23:03:30.000Z,"Ukrain News
@UkraineNewsWar
·
31s","Ukrainian DOT and DMVs taking signs off all level highways to confuse and stall the Russian advance.

#Ukraine #Kyiv #UkraineUnderAttack #UkraineRussiaWar #UkraineWar 
@UkraineNewsWar
4",,,,4,[],https://twitter.com/UkraineNewsWar/status/1497708935603703811
428,Artur Poliak,@artur_poliak,2022-02-26T22:11:59.000Z,"Artur Poliak
@artur_poliak
·
52m","#Kyiv #Ukrania #PrayingForUkraine #BREAKING 

The radio reports that the assault is imminent, they ask us to seek shelter, it will be a carnage, I no longer have a battery in my phone, I hope to be alive in the morning.
0:09
13.8K views
13
32
125",,13,32,125,[],https://twitter.com/artur_poliak/status/1497695967079845890
429,Artur Poliak,@artur_poliak,2022-02-26T22:11:59.000Z,"Artur Poliak
@artur_poliak
·
52m","#Kyiv #Ukrania #PrayingForUkraine #BREAKING 

The radio reports that the assault is imminent, they ask us to seek shelter, it will be a carnage, I no longer have a battery in my phone, I hope to be alive in the morning.
13.8K views
0:02 / 0:11
13
32
125",,13,32,125,[],https://twitter.com/artur_poliak/status/1497695967079845890
430,New News EU,@Newnews_eu,2022-02-26T08:49:26.000Z,"New News EU
@Newnews_eu
·
14h","There are images that the Russian army invading Ukraine is running out of fuel and food. (Liveumap)

 To the Russian soldier who ran out of gas on the highway, Ukrainian citizen:

""Shall I drop you off to Russia?""
#UkraineRussia #Ukraine #UkraineUnderAttack #UkraineWar #Russia
6
66
308",,6,66,308,[],https://twitter.com/Newnews_eu/status/1497494000902807563
431,feeling,@lionheartli,2022-02-26T08:13:11.000Z,"feeling
@lionheartli
·
14h","Ukrainian warrior VS Russian soldier. It is self-evident who will win!
#Ukraine #UkraineUnderAttack #UkraineRussia #UkraineWar #UkraineRussiaWar
1:02
69.8K views
19
75
561",,19,75,561,[],https://twitter.com/lionheartli/status/1497484876525621250
432,AEROSINT Division PSF,@PSFAERO,2022-02-26T08:31:00.000Z,"AEROSINT Division PSF
@PSFAERO
·
14h","The driver rolls up on the Russians, Russians say they are out of gas. The driver offers to tow them back to #Russia. 
Multiple videos on social media of Russian military out of fuel, food and stuck on highways in #Ukraine.
From 
Liveuamap
26
254
1,029",,26,254,"1,029",[],https://twitter.com/PSFAERO/status/1497489360383479819
433,feeling,@lionheartli,2022-02-26T08:13:11.000Z,"feeling
@lionheartli
·
14h","Ukrainian warrior VS Russian soldier. It is self-evident who will win!
#Ukraine #UkraineUnderAttack #UkraineRussia #UkraineWar #UkraineRussiaWar
69.8K views
0:03 / 1:03
19
75
561",,19,75,561,[],https://twitter.com/lionheartli/status/1497484876525621250
434,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T15:09:22.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
7h","A residential building in Kyiv was hit by a missile, the target was likely the nearby airport.

 #Ukraine #Russia #Kyiv #airport #missile
0:04
64.5K views
21
102
414",,21,102,414,[],https://twitter.com/WW32022/status/1497589615628333067
435,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T15:09:22.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
7h","A residential building in Kyiv was hit by a missile, the target was likely the nearby airport.

 #Ukraine #Russia #Kyiv #airport #missile
64.5K views
0:02 / 0:06
21
102
414",,21,102,414,[],https://twitter.com/WW32022/status/1497589615628333067
436,maheshprasad Upadhya,@maheshUpadhya1,2022-02-26T08:46:21.000Z,"maheshprasad Upadhya
@maheshUpadhya1
·
14h","DO YOU REALLY THINK THIS WAR WILL END WAR - STOP PUTIN NOW WHILE WE CAN #Ukraine #UkraineUnderAttack #UkraineRussia #UkraineRussiaWar #ukrainewarreport
That’s from Palestine  not ukraine.
#worldwar3
14
61
302",💔,14,61,302,[],https://twitter.com/maheshUpadhya1/status/1497493226206294016
437,Ukraine Updates Subhadip Roy,@Subharoyvila,2022-02-26T10:45:53.000Z,"Ukraine Updates Subhadip Roy
@Subharoyvila
·
12h"," #BREAKING : Moments when a Russian living in Ukraine gets angry with Russian soldiers:

""I'm Russian too, and I live here, fighting your own brothers.""

#Ukraine #Russia #Putin #NATO #Kyiv
#Kiev #UkraineUnderAttack
0:44
41.5K views
12
85
516",🔴,12,85,516,[],https://twitter.com/Subharoyvila/status/1497523307184214017
438,slaezy ϟ,@slaezy007,2022-02-26T00:04:15.000Z,"slaezy ϟ
@slaezy007
·
22h","Ukrainians let a captured Russian soldier to call his parents and inform them that he was a part of the invading army.  #Ukraine #Russia #Putin #Kiev
42
210
994",,42,210,994,[],https://twitter.com/slaezy007/status/1497361834973835264
439,ElFarahAnass,@ElFarahAnass,2022-02-26T18:13:41.000Z,"ElFarahAnass
@ElFarahAnass
·
4h","Replying to 
@EuropeReportEu
The complete video #Ukraine #russia #UkraineRussia
5
12
15",,5,12,15,[],https://twitter.com/ElFarahAnass/status/1497635997609246720
440,CHOPS,@Petepepper76,2022-02-26T06:43:43.000Z,"CHOPS
@Petepepper76
·
16h","#ukraine #ukrainewar #kyiv #kiev #ukrainerussiaconflict #breaking RUSSIA IS NOW TARGETING RESIDENTIAL HIGHRISES .
0:11
34K views
2
33
196",🏴,2,33,196,[],https://twitter.com/Petepepper76/status/1497462365012561921
441,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T15:34:45.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
7h","Russian RAF aircraft (possibly MiG-29) spotted in the Kyiv region.

#RussianArmy #UkraineArmy #Russia #Ukraine #MIG29 #Kyiv
11
108
342",,11,108,342,[],https://twitter.com/WW32022/status/1497596002274004994
442,We Stand With Ukraine,@jogarcia618,2022-02-26T03:33:49.000Z,"We Stand With Ukraine
@jogarcia618
·
19h","ALLEGED video of the current situation in Kyiv as Russian forces enter the heart of Ukraine.. #Ukraine #UkraineUnderAttack #UkraineRussia #UkraineInvasion #UkraineWar
34
143
483",,34,143,483,[],https://twitter.com/jogarcia618/status/1497414572369752065
443,CHOPS,@Petepepper76,2022-02-26T06:43:43.000Z,"CHOPS
@Petepepper76
·
16h","#ukraine #ukrainewar #kyiv #kiev #ukrainerussiaconflict #breaking RUSSIA IS NOW TARGETING RESIDENTIAL HIGHRISES .
34K views
0:03 / 0:13
2
33
196",🏴,2,33,196,[],https://twitter.com/Petepepper76/status/1497462365012561921
444,We Stand With Ukraine,@jogarcia618,2022-02-26T03:33:49.000Z,"We Stand With Ukraine
@jogarcia618
·
19h","ALLEGED video of the current situation in Kyiv as Russian forces enter the heart of Ukraine.. #Ukraine #UkraineUnderAttack #UkraineRussia #UkraineInvasion #UkraineWar
0:57
36.9K views
34
143
483",,34,143,483,[],https://twitter.com/jogarcia618/status/1497414572369752065
